Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/2010-2011,made-wine,Still,5.5% to 15% abv,All,409130.4,clearances,hectolitres,
government-year/2010-2011,made-wine,Sparkling,5.5% to 15% abv,All,5190.19,clearances,hectolitres,
government-year/2010-2011,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2010-2011,made-wine,All,over 5.5% abv,Ex-ship,41887.61,clearances,hectolitres,
government-year/2010-2011,made-wine,All,over 5.5% abv,Ex-warehouse,372432.98,clearances,hectolitres,
government-year/2010-2011,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2010-2011,made-wine,All,All,All,1154848.66,clearances,hectolitres,
government-year/2011-2012,made-wine,All,1.2% to 5.5% abv,All,924330.19,clearances,hectolitres,
government-year/2011-2012,made-wine,Still,5.5% to 15% abv,All,439136.78,clearances,hectolitres,
government-year/2011-2012,made-wine,Sparkling,5.5% to 15% abv,All,5908.27,clearances,hectolitres,
government-year/2011-2012,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2011-2012,made-wine,All,over 5.5% abv,Ex-ship,24992.89,clearances,hectolitres,
government-year/2011-2012,made-wine,All,over 5.5% abv,Ex-warehouse,420052.16,clearances,hectolitres,
government-year/2011-2012,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2011-2012,made-wine,All,All,All,1369375.24,clearances,hectolitres,
government-year/2012-2013,made-wine,All,1.2% to 5.5% abv,All,1038104.76,clearances,hectolitres,
government-year/2012-2013,made-wine,Still,5.5% to 15% abv,All,418033.93,clearances,hectolitres,
government-year/2012-2013,made-wine,Sparkling,5.5% to 15% abv,All,3972.39,clearances,hectolitres,
government-year/2012-2013,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2012-2013,made-wine,All,over 5.5% abv,Ex-ship,13371.27,clearances,hectolitres,
government-year/2012-2013,made-wine,All,over 5.5% abv,Ex-warehouse,408635.05,clearances,hectolitres,
government-year/2012-2013,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2012-2013,made-wine,All,All,All,1460111.08,clearances,hectolitres,
government-year/2013-2014,made-wine,All,1.2% to 5.5% abv,All,1457916.17,clearances,hectolitres,
government-year/2013-2014,made-wine,Still,5.5% to 15% abv,All,424313.13,clearances,hectolitres,
government-year/2013-2014,made-wine,Sparkling,5.5% to 15% abv,All,5316.83,clearances,hectolitres,
government-year/2013-2014,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2013-2014,made-wine,All,over 5.5% abv,Ex-ship,12578.87,clearances,hectolitres,
government-year/2013-2014,made-wine,All,over 5.5% abv,Ex-warehouse,417051.09,clearances,hectolitres,
government-year/2013-2014,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2013-2014,made-wine,All,All,All,1887546.14,clearances,hectolitres,
government-year/2014-2015,made-wine,All,1.2% to 5.5% abv,All,1695501.45,clearances,hectolitres,
government-year/2014-2015,made-wine,Still,5.5% to 15% abv,All,464745.17,clearances,hectolitres,
government-year/2014-2015,made-wine,Sparkling,5.5% to 15% abv,All,7495.63,clearances,hectolitres,
government-year/2014-2015,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2014-2015,made-wine,All,over 5.5% abv,Ex-ship,19792.87,clearances,hectolitres,
government-year/2014-2015,made-wine,All,over 5.5% abv,Ex-warehouse,452447.94,clearances,hectolitres,
government-year/2014-2015,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2014-2015,made-wine,All,All,All,2167742.25,clearances,hectolitres,
government-year/2015-2016,made-wine,All,1.2% to 5.5% abv,All,2007804.71,clearances,hectolitres,
government-year/2015-2016,made-wine,Still,5.5% to 15% abv,All,488944.61,clearances,hectolitres,
government-year/2015-2016,made-wine,Sparkling,5.5% to 15% abv,All,13124.19,clearances,hectolitres,
government-year/2015-2016,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2015-2016,made-wine,All,over 5.5% abv,Ex-ship,23233.69,clearances,hectolitres,
government-year/2015-2016,made-wine,All,over 5.5% abv,Ex-warehouse,478835.11,clearances,hectolitres,
government-year/2015-2016,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2015-2016,made-wine,All,All,All,2509873.51,clearances,hectolitres,
government-year/2016-2017,made-wine,All,1.2% to 5.5% abv,All,2297407.58,clearances,hectolitres,
government-year/2016-2017,made-wine,Still,5.5% to 15% abv,All,465317.8,clearances,hectolitres,
government-year/2016-2017,made-wine,Sparkling,5.5% to 15% abv,All,7963.2,clearances,hectolitres,
government-year/2016-2017,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2016-2017,made-wine,All,over 5.5% abv,Ex-ship,18588.24,clearances,hectolitres,
government-year/2016-2017,made-wine,All,over 5.5% abv,Ex-warehouse,454692.76,clearances,hectolitres,
government-year/2016-2017,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2016-2017,made-wine,All,All,All,2770688.57,clearances,hectolitres,
government-year/2017-2018,made-wine,All,1.2% to 5.5% abv,All,2278282.35,clearances,hectolitres,
government-year/2017-2018,made-wine,Still,5.5% to 15% abv,All,506811.9,clearances,hectolitres,
government-year/2017-2018,made-wine,Sparkling,5.5% to 15% abv,All,3845.99,clearances,hectolitres,
government-year/2017-2018,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2017-2018,made-wine,All,over 5.5% abv,Ex-ship,14920.34,clearances,hectolitres,
government-year/2017-2018,made-wine,All,over 5.5% abv,Ex-warehouse,495737.55,clearances,hectolitres,
government-year/2017-2018,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2017-2018,made-wine,All,All,All,2788940.24,clearances,hectolitres,
government-year/2018-2019,made-wine,All,1.2% to 5.5% abv,All,2228443.94,clearances,hectolitres,
government-year/2018-2019,made-wine,Still,5.5% to 15% abv,All,548165.81,clearances,hectolitres,
government-year/2018-2019,made-wine,Sparkling,5.5% to 15% abv,All,5236.3,clearances,hectolitres,
government-year/2018-2019,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2018-2019,made-wine,All,over 5.5% abv,Ex-ship,15161.49,clearances,hectolitres,
government-year/2018-2019,made-wine,All,over 5.5% abv,Ex-warehouse,538240.62,clearances,hectolitres,
government-year/2018-2019,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2018-2019,made-wine,All,All,All,2781846.04,clearances,hectolitres,
government-year/2019-2020,made-wine,All,1.2% to 5.5% abv,All,2093451.87,clearances,hectolitres,
government-year/2019-2020,made-wine,Still,5.5% to 15% abv,All,611844.29,clearances,hectolitres,
government-year/2019-2020,made-wine,Sparkling,5.5% to 15% abv,All,7219.63,clearances,hectolitres,
government-year/2019-2020,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2019-2020,made-wine,All,over 5.5% abv,Ex-ship,33314.19,clearances,hectolitres,
government-year/2019-2020,made-wine,All,over 5.5% abv,Ex-warehouse,585749.73,clearances,hectolitres,
government-year/2019-2020,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2019-2020,made-wine,All,All,All,2712515.79,clearances,hectolitres,
government-year/2020-2021,made-wine,All,1.2% to 5.5% abv,All,2482206.92,clearances,hectolitres,
government-year/2020-2021,made-wine,Still,5.5% to 15% abv,All,280820.28,clearances,hectolitres,
government-year/2020-2021,made-wine,Sparkling,5.5% to 15% abv,All,3044.42,clearances,hectolitres,
government-year/2020-2021,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
government-year/2020-2021,made-wine,All,over 5.5% abv,Ex-ship,18475.3,clearances,hectolitres,
government-year/2020-2021,made-wine,All,over 5.5% abv,Ex-warehouse,265389.4,clearances,hectolitres,
government-year/2020-2021,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
government-year/2020-2021,made-wine,All,All,All,2766071.62,clearances,hectolitres,
year/2000,made-wine,All,1.2% to 5.5% abv,All,2798602.02,clearances,hectolitres,
year/2000,made-wine,Still,5.5% to 15% abv,All,427157.04,clearances,hectolitres,
year/2000,made-wine,Sparkling,5.5% to 15% abv,All,3434.13,clearances,hectolitres,
year/2000,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2000,made-wine,All,over 5.5% abv,Ex-ship,32383.79,clearances,hectolitres,
year/2000,made-wine,All,over 5.5% abv,Ex-warehouse,398207.38,clearances,hectolitres,
year/2000,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2000,made-wine,All,All,All,3229193.2,clearances,hectolitres,
year/2001,made-wine,All,1.2% to 5.5% abv,All,3712613.52,clearances,hectolitres,
year/2001,made-wine,Still,5.5% to 15% abv,All,359659.93,clearances,hectolitres,
year/2001,made-wine,Sparkling,5.5% to 15% abv,All,3774.15,clearances,hectolitres,
year/2001,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2001,made-wine,All,over 5.5% abv,Ex-ship,24721.78,clearances,hectolitres,
year/2001,made-wine,All,over 5.5% abv,Ex-warehouse,338712.3,clearances,hectolitres,
year/2001,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2001,made-wine,All,All,All,4076047.6,clearances,hectolitres,
year/2002,made-wine,All,1.2% to 5.5% abv,All,1598850.82,clearances,hectolitres,
year/2002,made-wine,Still,5.5% to 15% abv,All,365202.9,clearances,hectolitres,
year/2002,made-wine,Sparkling,5.5% to 15% abv,All,1825.57,clearances,hectolitres,
year/2002,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2002,made-wine,All,over 5.5% abv,Ex-ship,19931.06,clearances,hectolitres,
year/2002,made-wine,All,over 5.5% abv,Ex-warehouse,347097.42,clearances,hectolitres,
year/2002,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2002,made-wine,All,All,All,1965879.3,clearances,hectolitres,
year/2003,made-wine,All,1.2% to 5.5% abv,All,423702.0,clearances,hectolitres,
year/2003,made-wine,Still,5.5% to 15% abv,All,338262.86,clearances,hectolitres,
year/2003,made-wine,Sparkling,5.5% to 15% abv,All,848.81,clearances,hectolitres,
year/2003,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2003,made-wine,All,over 5.5% abv,Ex-ship,24289.24,clearances,hectolitres,
year/2003,made-wine,All,over 5.5% abv,Ex-warehouse,314822.43,clearances,hectolitres,
year/2003,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2003,made-wine,All,All,All,762813.67,clearances,hectolitres,
year/2004,made-wine,All,1.2% to 5.5% abv,All,507798.77,clearances,hectolitres,
year/2004,made-wine,Still,5.5% to 15% abv,All,350426.87,clearances,hectolitres,
year/2004,made-wine,Sparkling,5.5% to 15% abv,All,691.94,clearances,hectolitres,
year/2004,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2004,made-wine,All,over 5.5% abv,Ex-ship,25673.37,clearances,hectolitres,
year/2004,made-wine,All,over 5.5% abv,Ex-warehouse,325445.44,clearances,hectolitres,
year/2004,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2004,made-wine,All,All,All,858917.58,clearances,hectolitres,
year/2005,made-wine,All,1.2% to 5.5% abv,All,598118.78,clearances,hectolitres,
year/2005,made-wine,Still,5.5% to 15% abv,All,334029.72,clearances,hectolitres,
year/2005,made-wine,Sparkling,5.5% to 15% abv,All,364.34,clearances,hectolitres,
year/2005,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2005,made-wine,All,over 5.5% abv,Ex-ship,35974.43,clearances,hectolitres,
year/2005,made-wine,All,over 5.5% abv,Ex-warehouse,298419.63,clearances,hectolitres,
year/2005,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2005,made-wine,All,All,All,932512.84,clearances,hectolitres,
year/2006,made-wine,All,1.2% to 5.5% abv,All,527770.42,clearances,hectolitres,
year/2006,made-wine,Still,5.5% to 15% abv,All,315529.31,clearances,hectolitres,
year/2006,made-wine,Sparkling,5.5% to 15% abv,All,1099.04,clearances,hectolitres,
year/2006,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2006,made-wine,All,over 5.5% abv,Ex-ship,34984.47,clearances,hectolitres,
year/2006,made-wine,All,over 5.5% abv,Ex-warehouse,281643.87,clearances,hectolitres,
year/2006,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2006,made-wine,All,All,All,844398.77,clearances,hectolitres,
year/2007,made-wine,All,1.2% to 5.5% abv,All,720431.71,clearances,hectolitres,
year/2007,made-wine,Still,5.5% to 15% abv,All,342809.4,clearances,hectolitres,
year/2007,made-wine,Sparkling,5.5% to 15% abv,All,6666.12,clearances,hectolitres,
year/2007,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2007,made-wine,All,over 5.5% abv,Ex-ship,52363.06,clearances,hectolitres,
year/2007,made-wine,All,over 5.5% abv,Ex-warehouse,297112.45,clearances,hectolitres,
year/2007,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2007,made-wine,All,All,All,1069907.23,clearances,hectolitres,
year/2008,made-wine,All,1.2% to 5.5% abv,All,611804.43,clearances,hectolitres,
year/2008,made-wine,Still,5.5% to 15% abv,All,374724.78,clearances,hectolitres,
year/2008,made-wine,Sparkling,5.5% to 15% abv,All,7897.35,clearances,hectolitres,
year/2008,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2008,made-wine,All,over 5.5% abv,Ex-ship,55111.04,clearances,hectolitres,
year/2008,made-wine,All,over 5.5% abv,Ex-warehouse,327511.09,clearances,hectolitres,
year/2008,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2008,made-wine,All,All,All,994426.57,clearances,hectolitres,
year/2009,made-wine,All,1.2% to 5.5% abv,All,596479.22,clearances,hectolitres,
year/2009,made-wine,Still,5.5% to 15% abv,All,390124.33,clearances,hectolitres,
year/2009,made-wine,Sparkling,5.5% to 15% abv,All,2395.19,clearances,hectolitres,
year/2009,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2009,made-wine,All,over 5.5% abv,Ex-ship,37296.47,clearances,hectolitres,
year/2009,made-wine,All,over 5.5% abv,Ex-warehouse,355223.04,clearances,hectolitres,
year/2009,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2009,made-wine,All,All,All,988998.74,clearances,hectolitres,
year/2010,made-wine,All,1.2% to 5.5% abv,All,758166.74,clearances,hectolitres,
year/2010,made-wine,Still,5.5% to 15% abv,All,399768.1,clearances,hectolitres,
year/2010,made-wine,Sparkling,5.5% to 15% abv,All,4720.62,clearances,hectolitres,
year/2010,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2010,made-wine,All,over 5.5% abv,Ex-ship,41116.12,clearances,hectolitres,
year/2010,made-wine,All,over 5.5% abv,Ex-warehouse,363372.6,clearances,hectolitres,
year/2010,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2010,made-wine,All,All,All,1162655.46,clearances,hectolitres,
year/2011,made-wine,All,1.2% to 5.5% abv,All,827776.51,clearances,hectolitres,
year/2011,made-wine,Still,5.5% to 15% abv,All,440356.54,clearances,hectolitres,
year/2011,made-wine,Sparkling,5.5% to 15% abv,All,6518.24,clearances,hectolitres,
year/2011,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2011,made-wine,All,over 5.5% abv,Ex-ship,31972.18,clearances,hectolitres,
year/2011,made-wine,All,over 5.5% abv,Ex-warehouse,414902.6,clearances,hectolitres,
year/2011,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2011,made-wine,All,All,All,1274651.29,clearances,hectolitres,
year/2012,made-wine,All,1.2% to 5.5% abv,All,999932.82,clearances,hectolitres,
year/2012,made-wine,Still,5.5% to 15% abv,All,424228.45,clearances,hectolitres,
year/2012,made-wine,Sparkling,5.5% to 15% abv,All,2954.34,clearances,hectolitres,
year/2012,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2012,made-wine,All,over 5.5% abv,Ex-ship,12032.89,clearances,hectolitres,
year/2012,made-wine,All,over 5.5% abv,Ex-warehouse,415149.9,clearances,hectolitres,
year/2012,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2012,made-wine,All,All,All,1427115.61,clearances,hectolitres,
year/2013,made-wine,All,1.2% to 5.5% abv,All,1394602.39,clearances,hectolitres,
year/2013,made-wine,Still,5.5% to 15% abv,All,421770.32,clearances,hectolitres,
year/2013,made-wine,Sparkling,5.5% to 15% abv,All,5278.7,clearances,hectolitres,
year/2013,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2013,made-wine,All,over 5.5% abv,Ex-ship,12407.12,clearances,hectolitres,
year/2013,made-wine,All,over 5.5% abv,Ex-warehouse,414641.89,clearances,hectolitres,
year/2013,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2013,made-wine,All,All,All,1821651.4,clearances,hectolitres,
year/2014,made-wine,All,1.2% to 5.5% abv,All,1715024.62,clearances,hectolitres,
year/2014,made-wine,Still,5.5% to 15% abv,All,465356.72,clearances,hectolitres,
year/2014,made-wine,Sparkling,5.5% to 15% abv,All,6840.01,clearances,hectolitres,
year/2014,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2014,made-wine,All,over 5.5% abv,Ex-ship,18521.64,clearances,hectolitres,
year/2014,made-wine,All,over 5.5% abv,Ex-warehouse,453675.09,clearances,hectolitres,
year/2014,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2014,made-wine,All,All,All,2187221.35,clearances,hectolitres,
year/2015,made-wine,All,1.2% to 5.5% abv,All,1950431.43,clearances,hectolitres,
year/2015,made-wine,Still,5.5% to 15% abv,All,489495.82,clearances,hectolitres,
year/2015,made-wine,Sparkling,5.5% to 15% abv,All,12505.16,clearances,hectolitres,
year/2015,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2015,made-wine,All,over 5.5% abv,Ex-ship,24512.15,clearances,hectolitres,
year/2015,made-wine,All,over 5.5% abv,Ex-warehouse,477488.82,clearances,hectolitres,
year/2015,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2015,made-wine,All,All,All,2452432.4,clearances,hectolitres,
year/2016,made-wine,All,1.2% to 5.5% abv,All,2229521.45,clearances,hectolitres,
year/2016,made-wine,Still,5.5% to 15% abv,All,455069.21,clearances,hectolitres,
year/2016,made-wine,Sparkling,5.5% to 15% abv,All,9868.57,clearances,hectolitres,
year/2016,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2016,made-wine,All,over 5.5% abv,Ex-ship,18339.52,clearances,hectolitres,
year/2016,made-wine,All,over 5.5% abv,Ex-warehouse,446598.27,clearances,hectolitres,
year/2016,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2016,made-wine,All,All,All,2694459.24,clearances,hectolitres,
year/2017,made-wine,All,1.2% to 5.5% abv,All,2335673.84,clearances,hectolitres,
year/2017,made-wine,Still,5.5% to 15% abv,All,505749.0,clearances,hectolitres,
year/2017,made-wine,Sparkling,5.5% to 15% abv,All,3885.53,clearances,hectolitres,
year/2017,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2017,made-wine,All,over 5.5% abv,Ex-ship,16006.8,clearances,hectolitres,
year/2017,made-wine,All,over 5.5% abv,Ex-warehouse,493627.73,clearances,hectolitres,
year/2017,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2017,made-wine,All,All,All,2845308.37,clearances,hectolitres,
year/2018,made-wine,All,1.2% to 5.5% abv,All,2231268.56,clearances,hectolitres,
year/2018,made-wine,Still,5.5% to 15% abv,All,546949.82,clearances,hectolitres,
year/2018,made-wine,Sparkling,5.5% to 15% abv,All,5022.82,clearances,hectolitres,
year/2018,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2018,made-wine,All,over 5.5% abv,Ex-ship,14807.4,clearances,hectolitres,
year/2018,made-wine,All,over 5.5% abv,Ex-warehouse,537165.25,clearances,hectolitres,
year/2018,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2018,made-wine,All,All,All,2783241.2,clearances,hectolitres,
year/2019,made-wine,All,1.2% to 5.5% abv,All,2156387.43,clearances,hectolitres,
year/2019,made-wine,Still,5.5% to 15% abv,All,546291.06,clearances,hectolitres,
year/2019,made-wine,Sparkling,5.5% to 15% abv,All,7133.81,clearances,hectolitres,
year/2019,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2019,made-wine,All,over 5.5% abv,Ex-ship,16479.65,clearances,hectolitres,
year/2019,made-wine,All,over 5.5% abv,Ex-warehouse,536945.22,clearances,hectolitres,
year/2019,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2019,made-wine,All,All,All,2709812.3,clearances,hectolitres,
year/2020,made-wine,All,1.2% to 5.5% abv,All,2404456.54,clearances,hectolitres,
year/2020,made-wine,Still,5.5% to 15% abv,All,384640.56,clearances,hectolitres,
year/2020,made-wine,Sparkling,5.5% to 15% abv,All,2900.53,clearances,hectolitres,
year/2020,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
year/2020,made-wine,All,over 5.5% abv,Ex-ship,35137.93,clearances,hectolitres,
year/2020,made-wine,All,over 5.5% abv,Ex-warehouse,352403.16,clearances,hectolitres,
year/2020,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
year/2020,made-wine,All,All,All,2791997.63,clearances,hectolitres,
month/1999-04,made-wine,All,1.2% to 5.5% abv,All,119008.31,clearances,hectolitres,
month/1999-04,made-wine,Still,5.5% to 15% abv,All,34920.95,clearances,hectolitres,
month/1999-04,made-wine,Sparkling,5.5% to 15% abv,All,248.48,clearances,hectolitres,
month/1999-04,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-04,made-wine,All,over 5.5% abv,Ex-ship,2508.02,clearances,hectolitres,
month/1999-04,made-wine,All,over 5.5% abv,Ex-warehouse,32661.41,clearances,hectolitres,
month/1999-04,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-04,made-wine,All,All,All,154177.74,clearances,hectolitres,
month/1999-05,made-wine,All,1.2% to 5.5% abv,All,121194.83,clearances,hectolitres,
month/1999-05,made-wine,Still,5.5% to 15% abv,All,34770.76,clearances,hectolitres,
month/1999-05,made-wine,Sparkling,5.5% to 15% abv,All,226.9,clearances,hectolitres,
month/1999-05,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-05,made-wine,All,over 5.5% abv,Ex-ship,3412.86,clearances,hectolitres,
month/1999-05,made-wine,All,over 5.5% abv,Ex-warehouse,31584.8,clearances,hectolitres,
month/1999-05,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-05,made-wine,All,All,All,156192.48,clearances,hectolitres,
month/1999-06,made-wine,All,1.2% to 5.5% abv,All,136497.57,clearances,hectolitres,
month/1999-06,made-wine,Still,5.5% to 15% abv,All,30331.34,clearances,hectolitres,
month/1999-06,made-wine,Sparkling,5.5% to 15% abv,All,233.42,clearances,hectolitres,
month/1999-06,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-06,made-wine,All,over 5.5% abv,Ex-ship,2404.7,clearances,hectolitres,
month/1999-06,made-wine,All,over 5.5% abv,Ex-warehouse,28160.06,clearances,hectolitres,
month/1999-06,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-06,made-wine,All,All,All,167062.34,clearances,hectolitres,
month/1999-07,made-wine,All,1.2% to 5.5% abv,All,174891.34,clearances,hectolitres,
month/1999-07,made-wine,Still,5.5% to 15% abv,All,36041.44,clearances,hectolitres,
month/1999-07,made-wine,Sparkling,5.5% to 15% abv,All,187.45,clearances,hectolitres,
month/1999-07,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-07,made-wine,All,over 5.5% abv,Ex-ship,2461.72,clearances,hectolitres,
month/1999-07,made-wine,All,over 5.5% abv,Ex-warehouse,33767.18,clearances,hectolitres,
month/1999-07,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-07,made-wine,All,All,All,211120.23,clearances,hectolitres,
month/1999-08,made-wine,All,1.2% to 5.5% abv,All,193190.2,clearances,hectolitres,
month/1999-08,made-wine,Still,5.5% to 15% abv,All,27756.77,clearances,hectolitres,
month/1999-08,made-wine,Sparkling,5.5% to 15% abv,All,62.65,clearances,hectolitres,
month/1999-08,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-08,made-wine,All,over 5.5% abv,Ex-ship,2037.94,clearances,hectolitres,
month/1999-08,made-wine,All,over 5.5% abv,Ex-warehouse,25781.48,clearances,hectolitres,
month/1999-08,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-08,made-wine,All,All,All,221009.63,clearances,hectolitres,
month/1999-09,made-wine,All,1.2% to 5.5% abv,All,164855.12,clearances,hectolitres,
month/1999-09,made-wine,Still,5.5% to 15% abv,All,35689.25,clearances,hectolitres,
month/1999-09,made-wine,Sparkling,5.5% to 15% abv,All,231.32,clearances,hectolitres,
month/1999-09,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-09,made-wine,All,over 5.5% abv,Ex-ship,2666.16,clearances,hectolitres,
month/1999-09,made-wine,All,over 5.5% abv,Ex-warehouse,33254.41,clearances,hectolitres,
month/1999-09,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-09,made-wine,All,All,All,200775.69,clearances,hectolitres,
month/1999-10,made-wine,All,1.2% to 5.5% abv,All,198962.11,clearances,hectolitres,
month/1999-10,made-wine,Still,5.5% to 15% abv,All,39303.96,clearances,hectolitres,
month/1999-10,made-wine,Sparkling,5.5% to 15% abv,All,371.4,clearances,hectolitres,
month/1999-10,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-10,made-wine,All,over 5.5% abv,Ex-ship,4933.02,clearances,hectolitres,
month/1999-10,made-wine,All,over 5.5% abv,Ex-warehouse,34742.33,clearances,hectolitres,
month/1999-10,made-wine,All,over 5.5% abv,UK Origin,,clearances,hectolitres,data-not-provided
month/1999-10,made-wine,All,All,All,238637.47,clearances,hectolitres,
month/1999-11,made-wine,All,1.2% to 5.5% abv,All,226771.68,clearances,hectolitres,
month/1999-11,made-wine,Still,5.5% to 15% abv,All,51451.0,clearances,hectolitres,
month/1999-11,made-wine,Sparkling,5.5% to 15% abv,All,429.28,clearances,hectolitres,
month/1999-11,made-wine,All,over 15% abv,All,,clearances,hectolitres,data-not-provided
month/1999-11,made-wine,All,over 5.5% abv,Ex-ship,4685.5,clearances,hectolitres,
month/1999-11,made-wine,All,over 5.5% abv,Ex-warehouse,47194.78,clearances,hectolitres,
