Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/2006-2007,wine,Still,up to 15% abv,All,11859097.5,clearances,hectolitres,
government-year/2006-2007,wine,Sparkling,up to 15% abv,All,737984.56,clearances,hectolitres,
government-year/2006-2007,wine,All,over 15% abv,All,302155.25,clearances,hectolitres,
government-year/2006-2007,wine,All,over 5.5% abv,Ex-ship,3771235.64,clearances,hectolitres,
government-year/2006-2007,wine,All,over 5.5% abv,Ex-warehouse,9113019.55,clearances,hectolitres,
government-year/2006-2007,wine,All,over 5.5% abv,UK Origin,14982.12,clearances,hectolitres,
government-year/2006-2007,wine,All,All,All,12899237.31,clearances,hectolitres,
government-year/2006-2007,wine,All,All,All,2384.7,wine-duty-receipts,gbp-million,
government-year/2006-2007,wine,All,All,All,7913.1,alcohol-duty-receipts,gbp-million,
government-year/2007-2008,wine,Still,up to 15% abv,All,12781154.28,clearances,hectolitres,
government-year/2007-2008,wine,Sparkling,up to 15% abv,All,837261.75,clearances,hectolitres,
government-year/2007-2008,wine,All,over 15% abv,All,320723.74,clearances,hectolitres,
government-year/2007-2008,wine,All,over 5.5% abv,Ex-ship,4341251.52,clearances,hectolitres,
government-year/2007-2008,wine,All,over 5.5% abv,Ex-warehouse,9576969.99,clearances,hectolitres,
government-year/2007-2008,wine,All,over 5.5% abv,UK Origin,20918.27,clearances,hectolitres,
government-year/2007-2008,wine,All,All,All,13939139.78,clearances,hectolitres,
government-year/2007-2008,wine,All,All,All,2641.0,wine-duty-receipts,gbp-million,
government-year/2007-2008,wine,All,All,All,8302.0,alcohol-duty-receipts,gbp-million,
government-year/2008-2009,wine,Still,up to 15% abv,All,11672567.98,clearances,hectolitres,
government-year/2008-2009,wine,Sparkling,up to 15% abv,All,706193.11,clearances,hectolitres,
government-year/2008-2009,wine,All,over 15% abv,All,288435.23,clearances,hectolitres,
government-year/2008-2009,wine,All,over 5.5% abv,Ex-ship,5042397.64,clearances,hectolitres,
government-year/2008-2009,wine,All,over 5.5% abv,Ex-warehouse,7607834.54,clearances,hectolitres,
government-year/2008-2009,wine,All,over 5.5% abv,UK Origin,16964.14,clearances,hectolitres,
government-year/2008-2009,wine,All,All,All,12667196.32,clearances,hectolitres,
government-year/2008-2009,wine,All,All,All,2741.0,wine-duty-receipts,gbp-million,
government-year/2008-2009,wine,All,All,All,8470.0,alcohol-duty-receipts,gbp-million,
government-year/2009-2010,wine,Still,up to 15% abv,All,12146131.21,clearances,hectolitres,
government-year/2009-2010,wine,Sparkling,up to 15% abv,All,779199.56,clearances,hectolitres,
government-year/2009-2010,wine,All,over 15% abv,All,225568.03,clearances,hectolitres,
government-year/2009-2010,wine,All,over 5.5% abv,Ex-ship,5051909.45,clearances,hectolitres,
government-year/2009-2010,wine,All,over 5.5% abv,Ex-warehouse,8073534.62,clearances,hectolitres,
government-year/2009-2010,wine,All,over 5.5% abv,UK Origin,25454.74,clearances,hectolitres,
government-year/2009-2010,wine,All,All,All,13150898.81,clearances,hectolitres,
government-year/2009-2010,wine,All,All,All,2949.0,wine-duty-receipts,gbp-million,
government-year/2009-2010,wine,All,All,All,9012.0,alcohol-duty-receipts,gbp-million,
government-year/2010-2011,wine,Still,up to 15% abv,All,11952339.27,clearances,hectolitres,
government-year/2010-2011,wine,Sparkling,up to 15% abv,All,774014.76,clearances,hectolitres,
government-year/2010-2011,wine,All,over 15% abv,All,212027.64,clearances,hectolitres,
government-year/2010-2011,wine,All,over 5.5% abv,Ex-ship,4719752.41,clearances,hectolitres,
government-year/2010-2011,wine,All,over 5.5% abv,Ex-warehouse,8198356.15,clearances,hectolitres,
government-year/2010-2011,wine,All,over 5.5% abv,UK Origin,20273.12,clearances,hectolitres,
government-year/2010-2011,wine,All,All,All,12938381.68,clearances,hectolitres,
government-year/2010-2011,wine,All,All,All,3101.37,wine-duty-receipts,gbp-million,
government-year/2010-2011,wine,All,All,All,9397.02,alcohol-duty-receipts,gbp-million,
government-year/2011-2012,wine,Still,up to 15% abv,All,12061420.23,clearances,hectolitres,
government-year/2011-2012,wine,Sparkling,up to 15% abv,All,801694.85,clearances,hectolitres,
government-year/2011-2012,wine,All,over 15% abv,All,216351.18,clearances,hectolitres,
government-year/2011-2012,wine,All,over 5.5% abv,Ex-ship,4686157.06,clearances,hectolitres,
government-year/2011-2012,wine,All,over 5.5% abv,Ex-warehouse,8373973.2,clearances,hectolitres,
government-year/2011-2012,wine,All,over 5.5% abv,UK Origin,19336.0,clearances,hectolitres,
