Year,Entrant,Song,Language,Marker,Measure,Observation,Units
1989,Tommy Nilsson,En dag,Swedish,,Final Points, 110    ,none
1990,Edin-Ådahl,Som en vind,Swedish,,Final Points, 24     ,none
1991,Carola,Fångad av en stormvind,Swedish,,Final Points, 146    ,none
1992,Christer Björkman,I morgon är en annan dag,Swedish,,Final Points, 9      ,none
1993,Arvingarna,Eloise,Swedish,,Final Points, 89     ,none
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,,Final Points, 48     ,none
1995,Jan Johansen,Se på mej,Swedish,,Final Points, 100    ,none
1996,One More Time,Den vilda,Swedish,,Final Points, 100    ,none
1997,Blond,Bara hon älskar mig,Swedish,,Final Points, 36     ,none
1998,Jill Johnson,Kärleken är,Swedish,,Final Points, 53     ,none
1999,Charlotte Nilsson,Take Me to Your Heaven,English,,Final Points, 163    ,none
2000,Roger Pontare,When Spirits Are Calling My Name,English,,Final Points, 88     ,none
2001,Friends,Listen to Your Heartbeat,English,,Final Points, 100    ,none
2002,Afro-dite,Never Let It Go,English,,Final Points, 72     ,none
2003,Fame,Give Me Your Love,English,,Final Points, 107    ,none
2004,Lena Philipsson,It Hurts,English,,Final Points, 170    ,none
2005,Martin Stenmarck,Las Vegas,English,,Final Points, 30     ,none
2006,Carola,Invincible,English,,Final Points, 170    ,none
2007,The Ark,The Worrying Kind,English,,Final Points, 51     ,none
2008,Charlotte Perrelli,Hero,English,,Final Points, 47     ,none
2009,Malena Ernman,La voix,"French, English",,Final Points, 33     ,none
2010,Anna Bergendahl,This Is My Life,English,Did not qualify for final,Final Points,-1,none
2011,Eric Saade,Popular,English,,Final Points, 185    ,none
2012,Loreen,Euphoria,English,,Final Points, 372    ,none
2013,Robin Stjernberg,You,English,,Final Points, 62     ,none
2014,Sanna Nielsen,Undo,English,,Final Points, 218    ,none
2015,Måns Zelmerlöw,Heroes,English,,Final Points, 365    ,none
2016,Frans,If I Were Sorry,English,,Final Points, 261    ,none
2017,Robin Bengtsson,I Can't Go On,English,,Final Points, 344    ,none
2018,Benjamin Ingrosso,Dance You Off,English,,Final Points, 274    ,none
2019,John Lundvik,Too Late for Love,English,,Final Points, 334    ,none
2020,The Mamas,Move,English,Contest cancelled,Final Points,-1,none
2021,Tusse,Voices,English,,Final Points, 109    ,none
