Year,Entrant,Song,Language,Marker,Measure,Observation,Units
2004,lena-philipsson,it-hurts,english,,final-points,170,none
2005,martin-stenmarck,las-vegas,english,,final-points,30,none
2006,carola,invincible,english,,final-points,170,none
2007,the-ark,the-worrying-kind,english,,final-points,51,none
2008,charlotte-perrelli,hero,english,,final-points,47,none
2009,malena-ernman,la-voix,french-english,,final-points,33,none
2010,anna-bergendahl,this-is-my-life,english,did-not-qualify-for-final,final-points,-1,none
2011,eric-saade,popular,english,,final-points,185,none
2012,loreen,euphoria,english,,final-points,372,none
2013,robin-stjernberg,you,english,,final-points,62,none
2014,sanna-nielsen,undo,english,,final-points,218,none
2015,mans-zelmerlow,heroes,english,,final-points,365,none
2016,frans,if-i-were-sorry,english,,final-points,261,none
2017,robin-bengtsson,i-can-t-go-on,english,,final-points,344,none
2018,benjamin-ingrosso,dance-you-off,english,,final-points,274,none
2019,john-lundvik,too-late-for-love,english,,final-points,334,none
2020,the-mamas,move,english,contest-cancelled,final-points,-1,none
2021,tusse,voices,english,,final-points,109,none
1958,alice-babs,lilla-stjarna,swedish,,people-on-stage,1,people
1959,brita-borg,augustin,swedish,,people-on-stage,1,people
1960,siw-malmkvist,alla-andra-far-varann,swedish,,people-on-stage,1,people
1961,lill-babs,april-april,swedish,,people-on-stage,1,people
1962,inger-berggren,sol-och-var,swedish,,people-on-stage,1,people
1963,monica-zetterlund,en-gang-i-stockholm,swedish,,people-on-stage,1,people
1965,ingvar-wixell,absent-friend,english,,people-on-stage,1,people
1966,lill-lindfors-and-svante-thuresson,nygammal-vals,swedish,,people-on-stage,3,people
1967,osten-warnerbring,som-en-drom,swedish,,people-on-stage,1,people
1968,claes-goran-hederstrom,det-borjar-verka-karlek-banne-mig,swedish,,people-on-stage,1,people
1969,tommy-korberg,judy-min-van,swedish,,people-on-stage,1,people
1971,family-four,vita-vidder,swedish,,people-on-stage,4,people
1972,family-four,harliga-sommardag,swedish,,people-on-stage,4,people
1973,the-nova-and-the-dolls,you-re-summer,english,,people-on-stage,5,people
1974,abba,waterloo,english,,people-on-stage,6,people
1975,lars-berghagen-and-the-dolls,jennie-jennie,english,,people-on-stage,4,people
1977,forbes,beatles,swedish,,people-on-stage,6,people
1978,bjorn-skifs,det-blir-alltid-varre-framat-natten,swedish,,people-on-stage,3,people
1979,ted-gardestad,satellit,swedish,,people-on-stage,5,people
1980,tomas-ledin,just-nu,swedish,,people-on-stage,5,people
1981,bjorn-skifs,fangad-i-en-drom,swedish,,people-on-stage,6,people
1982,chips,dag-efter-dag,swedish,,people-on-stage,6,people
1983,carola,framling,swedish,,people-on-stage,5,people
1984,herreys,diggi-loo-diggi-ley,swedish,,people-on-stage,6,people
1985,kikki-danielsson,bra-vibrationer,swedish,,people-on-stage,6,people
1986,monica-tornell-and-lasse-holm,e-de-det-har-du-kallar-karlek,swedish,,people-on-stage,6,people
1987,lotta-engberg,boogaloo,swedish,,people-on-stage,6,people
1988,tommy-korberg,stad-i-ljus,swedish,,people-on-stage,2,people
1989,tommy-nilsson,en-dag,swedish,,people-on-stage,6,people
1990,edin-adahl,som-en-vind,swedish,,people-on-stage,6,people
1991,carola,fangad-av-en-stormvind,swedish,,people-on-stage,6,people
1992,christer-bjorkman,i-morgon-ar-en-annan-dag,swedish,,people-on-stage,4,people
1993,arvingarna,eloise,swedish,,people-on-stage,6,people
1994,marie-bergman-and-roger-pontare,stjarnorna,swedish,,people-on-stage,2,people
1995,jan-johansen,se-pa-mej,swedish,,people-on-stage,5,people
1996,one-more-time,den-vilda,swedish,,people-on-stage,6,people
1997,blond,bara-hon-alskar-mig,swedish,,people-on-stage,4,people
1998,jill-johnson,karleken-ar,swedish,,people-on-stage,3,people
1999,charlotte-nilsson,take-me-to-your-heaven,english,,people-on-stage,6,people
2000,roger-pontare,when-spirits-are-calling-my-name,english,,people-on-stage,6,people
2001,friends,listen-to-your-heartbeat,english,,people-on-stage,6,people
2002,afro-dite,never-let-it-go,english,,people-on-stage,6,people
2003,fame,give-me-your-love,english,,people-on-stage,6,people
2004,lena-philipsson,it-hurts,english,,people-on-stage,6,people
2005,martin-stenmarck,las-vegas,english,,people-on-stage,6,people
2006,carola,invincible,english,,people-on-stage,6,people
2007,the-ark,the-worrying-kind,english,,people-on-stage,6,people
2008,charlotte-perrelli,hero,english,,people-on-stage,5,people
2009,malena-ernman,la-voix,french-english,,people-on-stage,6,people
2010,anna-bergendahl,this-is-my-life,english,did-not-qualify-for-final,people-on-stage,6,people
2011,eric-saade,popular,english,,people-on-stage,6,people
2012,loreen,euphoria,english,,people-on-stage,6,people
2013,robin-stjernberg,you,english,,people-on-stage,6,people
2014,sanna-nielsen,undo,english,,people-on-stage,6,people
2015,mans-zelmerlow,heroes,english,,people-on-stage,6,people
2016,frans,if-i-were-sorry,english,,people-on-stage,2,people
2017,robin-bengtsson,i-can-t-go-on,english,,people-on-stage,6,people
2018,benjamin-ingrosso,dance-you-off,english,,people-on-stage,6,people
2019,john-lundvik,too-late-for-love,english,,people-on-stage,6,people
2020,the-mamas,move,english,contest-cancelled,people-on-stage,3,people
2021,tusse,voices,english,,people-on-stage,6,people
